,cv_train_accuracy,cv_val_accuracy,cv_val_accuracy_std,cv_val_precision,cv_val_recall,cv_val_f1,cv_val_roc_auc,cv_overfit_gap,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
Logistic_Regression,0.48729681443375117,0.4873068324011771,0.0020332352497391053,0.5110455570350071,0.423484168696321,0.4631568948534189,0.5061955406799508,-1.0017967425945962e-05,0.4911096829477292,0.5155294998128976,0.4238539636960312,0.46521837010355693,0.5016758274189521
Random_Forest,0.7507196847679992,0.7272045263377932,0.003058995715043377,0.7218511393075615,0.7770798615562107,0.7484413119670259,0.806009939330331,0.023515158430206018,0.7298628963153385,0.7247207103981668,0.7783817044405702,0.7505933544303798,0.8098364498521883
Gradient_Boosting,0.7978536841517976,0.7565540880660258,0.003542942238876472,0.7375345542288543,0.8288424560953723,0.7805184829230389,0.8311890932882484,0.04129959608577183,0.7629070265638389,0.744041070773744,0.8323248897548969,0.7857108282104651,0.8403189364739232
XGBoost,0.8114238310110429,0.7755937744794034,0.004727498810942595,0.7664097446385744,0.8203563645686449,0.7924534822605127,0.8525184189642363,0.03583005653163951,0.7811161096829478,0.7744717968598566,0.8195056917239257,0.7963525835866262,0.8581503963889735
Neural_Network,0.6475979285610542,0.6327023384410804,0.0066634156381572465,0.628861680796902,0.7241635687732343,0.6730888655540773,0.6735365930475571,0.014895590119973878,0.6427270779777207,0.6411290322580645,0.7174648753973951,0.6771523980060978,0.7026341165736398
Ensemble_Soft,0.7998118838761397,0.7631282698979398,0.0037953027449207336,0.7506041714048817,0.8183566209460326,0.7830138168698018,0.8415865857233122,0.03668361397819986,0.7683697514995715,0.7576448243114909,0.8181724951287047,0.7867462156698387,0.8493089519668601
