,cv_train_accuracy,cv_val_accuracy,cv_val_accuracy_std,cv_val_precision,cv_val_recall,cv_val_f1,cv_val_roc_auc,cv_overfit_gap,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
Logistic_Regression_L2,0.5412125501072269,0.541011716339433,0.003495094210255732,0.5595620582551796,0.5691321625432637,0.5641522161148755,0.5550034777036965,0.0002008337677938954,0.5393637532133676,0.5580925439482723,0.5665059993846785,0.562267799888035,0.5552400553400798
Logistic_Regression_L1,0.541845201888972,0.540315442589944,0.005220794512673839,0.5582572993874226,0.5734393026535061,0.5655823851962406,0.5559917704227401,0.0015297592990279885,0.5411846615252784,0.5595693298450393,0.5703004820018459,0.5648839453501956,0.5570399104039652
Decision_Tree,0.6545503750832466,0.6540047939821835,0.00499284262259202,0.6464777396239549,0.7457249070631969,0.6923249108379785,0.693466600485742,0.000545581101063175,0.6555269922879178,0.6534442903374942,0.7247461798789868,0.6872508022950501,0.6997662488716491
Random_Forest,0.6604718654255868,0.65866416249986,0.009370415773827988,0.6460677307169796,0.7671067811818998,0.7013143176678855,0.7222614338377626,0.0018077029257267396,0.6675235646958012,0.6557088863496529,0.7650497384883602,0.7061719045815978,0.7256064470740105
Gradient_Boosting,0.7372499478030549,0.7294941498973693,0.0046886920123936,0.7121352798386213,0.8091526727342648,0.7575101038390211,0.8069519919638453,0.007755797905685591,0.7367716366752356,0.7195387688396586,0.8127371551635729,0.7633036359258367,0.8117023652424808
XGBoost,0.7268397084264088,0.7215810048385214,0.00616179389577668,0.7210394487475683,0.7615690296115882,0.7407199233603452,0.7982051561147746,0.005258703587887381,0.7249357326478149,0.7279012345679012,0.7558199159060609,0.741597907023546,0.801930270897
SVM,0.547904248956076,0.5428494957727763,0.007704745254562092,0.5382254385836376,0.9475285171102662,0.6864748976995108,0.5466409435038844,0.005054753183299732,0.5382390745501285,0.5324779932109776,0.9491334222131064,0.6822202565236621,0.5430211883568149
